初始,代码,名称,最新,涨幅%,现量,买入价,换手%,3日涨幅%,10日涨幅%,本月涨幅%,所属行业,5日涨幅%,近一月涨幅%,60日涨幅,委比%,金额,开盘,近一年涨幅%,卖一量,量比,总股本,总市值,流通股本,流通市值,今年涨幅%,最低,3日换手%,6日换手%,自选时间,自选价格,自选收益,自选时间1,昨收,振幅%,委差,均价,Column1
1,"= ""002709""", 天赐材料, 38.17, 1.54, 3.10万, 38.17, 14.83,17.09,27.79,1.54,  化学制品,21.91,75.74,104.12, 80.67, 77.45亿, 37.00,196.81, 556, 1.24, 19.14亿, 730.7亿, 13.85亿, 528.6亿,94.55, 36.48,42.51,74.41,2025-09-08,28.02,0.3622,2025-09-08,37.59, 9.63, 8011, 37.72,
2,"= ""300959""", 线上线下, 96.82, 15.08, 1972, 96.82, 32.77,15.43,40.48,15.08,  通信服务,21.94,118.51,120.9, -28.80, 14.60亿, 84.97,302.24, 36, 1.27, 8037万, 77.81亿, 5236万, 50.69亿,120.9, 77.53,86.64,161.43,2025-09-29,86.53,0.1189,2025-09-29,84.13, 25.38, -119, 85.08,
3,"= ""300250""", 初灵信息, 27.20, 3.03, 6819, 27.19, 48.89,11.02,52.47,3.03,  互联网服务,3.46,56.77,67.08, -40.35, 20.71亿, 26.39,113.84, 68, 1.16, 2.141亿, 58.23亿, 1.577亿, 42.89亿,92.91, 25.79,115.67,259.62,2025-09-22,21.91,0.2414,2025-09-22,26.4, 9.13, -1845, 26.87,
4,"= ""300115""", 长盈精密, 41.68, 0.53, 1.99万, 41.68, 12.14,5.76,48.12,0.53,  消费电子,14.22,66.85,99.62, 79.01, 68.08亿, 41.00,303.88, 116, 0.79, 13.60亿, 567.0亿, 13.56亿, 565.3亿,158.72, 40.22,38.52,89.47,2025-09-24,39.75,0.0486,2025-09-24,41.46, 5.55, 8178, 41.36,
5,"= ""688210""", 统联精密, 62.45, 1.05, 479, 62.44, 2.90,3.53,23.76,1.05,  电子元件,10.65,46.94,160.86, 68.15, 2.96亿, 62.10,236.48, 25, 0.60, 1.614亿, 100.8亿, 1.614亿, 100.8亿,215.24, 61.32,11.07,27.01,2025-07-28,34.88,0.7904,2025-07-28,61.8, 5.94, 912, 63.35,
6,"= ""300464""", 星徽股份, 7.74, 20.00, 1097, 7.74, 19.81,36.51,32.08,20,  互联网服务,44.13,37.23,40.47, 100.00, 5.17亿, 6.55,110.33, 0, 2.07, 4.578亿, 35.44亿, 3.553亿, 27.50亿,49.71, 6.51,49.9,67.62,2025-09-30,7.21,0.0735,2025-09-30,6.45, 19.07, 21.7万, 7.34,
7,"= ""688269""", 凯立新材, 40.90, 3.70, 511, 40.86, 2.68,10.27,11.57,3.7,  化学制品,11.9,8.92,25.08, -50.40, 1.40亿, 40.00,98.45, 92, 1.65, 1.307亿, 53.46亿, 1.307亿, 53.46亿,67.08, 39.30,6.79,10.83,2025-10-02,40.9,0,2025-10-02,39.44, 4.31, -161, 40.06,
8,"= ""688385""", 复旦微电, 66.65, 5.86, 1966, 66.64, 3.56,6.25,4.88,5.86,  半导体,10.2,16.24,38.85, -28.42, 12.61亿, 63.32,175.53, 111, 0.98, 8.214亿, 547.5亿, 5.371亿, 358.0亿,73.98, 62.96,11.7,21.69,2025-10-02,66.65,0,2025-10-02,62.96, 6.97, -430, 65.87,
9,"= ""300455""", 航天智装, 17.39, 3.95, 2171, 17.38, 2.24,2.66,0,3.95,  计算机设备,3.95,-1.64,25.29, -58.94, 2.74亿, 16.75,74.42, 1749, 1.64, 7.178亿, 124.8亿, 7.086亿, 123.2亿,34.39, 16.74,4.57,9.05,2025-10-02,17.39,0,2025-10-02,16.73, 5.44, -3181, 17.31,
10,"= ""002513""", 蓝丰生化, 10.40, 10.05, 633, 10.40, 15.97,33.16,92.95,10.05,  农药兽药,61.24,99.23,88.75, 100.00, 4.38亿, 10.30,200.58, 0, 0.72, 3.556亿, 36.98亿, 2.652亿, 27.58亿,132.14, 10.02,73.78,126.18,2025-09-29,9.45,0.1005,2025-09-29,9.45, 4.02, 22.0万, 10.34,
